ax	ay	az	wx	wy	wz	roll	pitch	yaw
0.018212499097	0.008160216734	-0.003982448485	0.001063939184	0.003026764840	0.000319581479	0.008689322005	-0.010364138591	0.000046526622
0.016661072150	0.008106522262	-0.004974894226	-0.001075655338	0.001982008573	0.000287611707	0.010805652437	-0.011333417400	0.000066913282
0.014850439504	0.007103498559	-0.005568968132	0.001052906271	0.001966710435	0.000311559357	0.012525078335	-0.012138132704	0.000089879517
0.014648378827	0.005547533743	-0.005763958208	0.001074861968	0.003020645352	-0.000751314336	0.014054997000	-0.012687059375	0.000111591389
0.012680619955	0.007463332731	-0.004692055285	0.002188113984	0.003040337935	0.000379649427	0.015275439671	-0.013365312432	0.000130586939
0.010768076405	0.004925266840	-0.004269987345	0.002147964668	0.002008333104	0.002513356972	0.016226971461	-0.013767184847	0.000162661199
0.010839993134	0.004254122265	-0.004197247792	0.003240432590	0.001974273473	0.000383617211	0.017101376280	-0.014072147824	0.000183274153
0.009118052199	0.004688923713	-0.005984150339	0.002158515155	0.002001320943	0.001442471286	0.017801237488	-0.014400319283	0.000206996430
0.008587728254	0.003923313692	-0.006410706788	0.002156386850	0.002005129121	0.001442457666	0.018408083971	-0.014647156353	0.000224236669
0.009118566290	0.003570760367	-0.004914747085	0.001089233789	0.002018679166	0.001430469565	0.019021888429	-0.014862403915	0.000241704422
0.007372479886	0.003401559778	-0.006635432597	0.002166663529	0.001999187050	0.000371583475	0.019486427648	-0.015046884005	0.000251693579
0.007557591889	0.003685538657	-0.007532291580	0.001084443415	0.002026989590	0.001430443255	0.019942382348	-0.015235949126	0.000272298826
0.007154313847	0.004343872890	-0.005666829646	0.001095817890	0.002017074032	0.000359562517	0.020345854980	-0.015447390815	0.000286860175
0.007911560126	0.002593907062	-0.003984064329	0.001069974969	0.000972837908	0.001422440982	0.020778979887	-0.015579941077	0.000302090906
0.006673740689	0.003291831585	-0.003520888742	0.000025815698	0.002036219463	0.000347576599	0.021131962081	-0.015736527975	0.000310719034
0.005761753768	0.003554737195	-0.005833417177	0.002152603352	0.002022422152	0.000371519069	0.021418489355	-0.015885628184	0.000323641051
0.005984942429	0.003890298540	-0.006925851107	0.001078324160	0.003114497056	0.001438352163	0.021714263693	-0.016053628387	0.000336765152
0.005101126619	0.003832171438	-0.004797341302	0.001080076327	0.002040433465	0.000359467056	0.021957352907	-0.016203327626	0.000343660306
0.004818171728	0.002012063283	-0.005459428765	0.002133907750	0.000971633417	0.000363455882	0.022179379340	-0.016268683693	0.000344877357
0.004551331047	0.003807899542	-0.004001242574	0.002124136081	0.002054113662	0.001442254288	0.022385309692	-0.016395471603	0.000356443106
0.005004624836	0.002262750175	-0.005213259254	0.001220302773	0.004146510269	0.000440288626	0.022618781666	-0.016475788172	0.000374234175
0.004569542129	0.001600635820	-0.004334138241	0.000154453432	0.004157138057	0.000428280327	0.022840347850	-0.016527558047	0.000381343152
0.005545940250	0.002819345798	-0.005729244091	0.002273926046	0.003077052766	0.000444230216	0.023069515796	-0.016605855752	0.000388599796
0.003156374441	0.001577807008	-0.005336153321	0.002254931489	0.000950342743	0.000428220606	0.023200847988	-0.016641955299	0.000394349363
0.005272819195	0.003528526984	-0.005327447318	0.000155733534	0.003083934775	-0.000650662871	0.023403865105	-0.016751187008	0.000396008488
0.003490722505	0.001409836113	-0.003866585670	0.002246522112	0.002032038756	0.001507003559	0.023553344698	-0.016779427813	0.000407326557
0.005193938967	0.002033043420	-0.003551790956	0.001198390499	0.004171084147	0.001510977745	0.023757582160	-0.016827614088	0.000424921796
0.003770226380	0.002263851929	-0.004700945225	0.002267577685	0.003085297067	0.000444080681	0.023914905837	-0.016886730803	0.000425680051
